"entity","tTestQVal","inContextMean","outGroupMean","effectSize","fractionInContextLinesDependent","fractionOutGroupLinesDependent","selectivityVal"
"SDHA (6389)","0","-0.714","-0.321","-0.393","0.753","0.281","0.892"
"SDHB (6390)","0","-1.092","-0.478","-0.614","0.925","0.454","1.17"
"SDHC (6391)","0","-1.394","-0.951","-0.442","1","0.909","2"
"SDHD (6392)","0","-0.872","-0.586","-0.286","0.892","0.61","0.724"
"SEPHS2 (22928)","0","-1.437","-0.822","-0.616","0.978","0.654","1.381"
"SEPSECS (51091)","0","-0.866","-0.572","-0.294","0.774","0.519","0.503"
"SH3GL1 (6455)","0","-0.658","-0.155","-0.503","0.527","0.025","1.643"
"SLC4A7 (9497)","0","-0.711","-0.399","-0.312","0.72","0.321","0.736"
"SLC7A1 (6541)","0","-0.54","-0.241","-0.299","0.516","0.174","0.705"
"SLC16A1 (6566)","0","-0.495","-0.214","-0.281","0.376","0.1","0.736"
"SLC20A1 (6574)","0","-0.628","-0.279","-0.349","0.688","0.131","1.166"
"SLC25A1 (6576)","0","-0.496","-0.224","-0.272","0.462","0.109","0.848"
"SMARCB1 (6598)","0","-1.09","-0.8","-0.29","0.989","0.804","1.35"
"SMARCD1 (6602)","0","-0.485","-0.193","-0.292","0.516","0.153","0.772"
"SOD2 (6648)","0","-1.282","-0.985","-0.297","0.86","0.78","0.241"
"SRM (6723)","0","-0.43","-0.113","-0.317","0.398","0.038","1.218"
"STK11 (6794)","0","-0.523","-0.155","-0.368","0.548","0.181","0.739"
"SUPT4H1 (6827)","0","-0.889","-0.612","-0.278","0.903","0.711","0.579"
"SUPT7L (9913)","0","-0.411","-0.052","-0.359","0.43","0.066","1.029"
"SUPT20H (55578)","0","-0.492","-0.114","-0.378","0.484","0.12","0.838"
"SUZ12 (23512)","0","-0.622","-0.345","-0.278","0.731","0.316","0.771"
"SYK (6850)","0","-0.224","0.038","-0.261","0.226","0.001","2.503"
"TADA1 (117143)","0","-0.739","-0.232","-0.507","0.785","0.264","1.007"
"TADA2B (93624)","0","-0.657","-0.198","-0.46","0.742","0.223","1"
"TAF5L (27097)","0","-0.693","-0.21","-0.483","0.731","0.252","0.908"
"TAF6L (10629)","0","-0.665","-0.374","-0.29","0.774","0.362","0.781"
"TAFAZZIN (6901)","0","-0.838","-0.412","-0.426","0.742","0.331","0.764"
"TCF3 (6929)","0","-0.395","-0.016","-0.379","0.301","0.012","1.554"
"TFRC (7037)","0","-1.503","-0.888","-0.615","1","0.717","2"
"THAP11 (57215)","0","-0.861","-0.559","-0.302","0.86","0.586","0.639"
"TIMM50 (92609)","0.017","-0.674","-0.418","-0.257","0.108","0.127","0.56"
"TPI1 (7167)","0","-1.311","-0.978","-0.333","0.914","0.867","0.211"
"TPK1 (27010)","0","-0.417","-0.122","-0.295","0.344","0.068","0.859"
"TRPM7 (54822)","0","-1.067","-0.698","-0.369","0.946","0.603","1.064"
"TSC1 (7248)","0","-0.256","0.042","-0.297","0.247","0.091","0.514"
"TSC2 (7249)","0","-0.443","-0.063","-0.38","0.43","0.168","0.572"
"TTC7A (57217)","0","-0.52","-0.226","-0.294","0.419","0.098","0.823"
"UBE2G2 (7327)","0","-0.596","-0.285","-0.311","0.548","0.191","0.711"
"UMPS (7372)","0","-1.213","-0.538","-0.675","0.925","0.422","1.226"
"UQCRC1 (7384)","0","-0.768","-0.494","-0.274","0.806","0.513","0.597"
"UQCRC2 (7385)","0","-0.895","-0.62","-0.275","0.882","0.619","0.661"
"UROD (7389)","0","-1.141","-0.704","-0.436","0.925","0.616","0.885"
"UROS (7390)","0","-0.524","-0.175","-0.35","0.559","0.091","1.105"
"WDR24 (84219)","0","-0.833","-0.56","-0.273","0.849","0.575","0.619"
"WDR36 (134430)","0.045","-1.989","-1.709","-0.28","0.151","0.312","2"
"WNK1 (65125)","0","-1.403","-1.013","-0.39","1","0.871","2"
"YRDC (79693)","0","-2.487","-1.966","-0.521","1","0.882","2"
"ZMYND8 (23613)","0","-0.645","-0.372","-0.273","0.581","0.309","0.49"
"ZNF217 (7764)","0","-0.797","-0.408","-0.389","0.742","0.376","0.679"
